Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
v,2.0703,0.3218,1520,6.43,<.0001,0.05,1.4390,2.7015
gamma,1.1265,0.05332,1520,21.12,<.0001,0.05,1.0219,1.2311
re_trtSal,0.3467,0.1558,1520,2.22,0.0262,0.05,0.04102,0.6524
re_trtSal_Flu,0.2627,0.3245,1520,0.81,0.4183,0.05,-0.3738,0.8993
re_age,-0.5277,0.9447,1520,-0.56,0.5765,0.05,-2.3807,1.3252
re_BMI,-1.1717,1.2841,1520,-0.91,0.3617,0.05,-3.6904,1.3471
re_fev1pp,-1.5845,0.7518,1520,-2.11,0.0352,0.05,-3.0592,-0.1098
re_fev1fvcratio,0.2189,0.8572,1520,0.26,0.7985,0.05,-1.4626,1.9003
re_rand_season2,-0.6391,0.2423,1520,-2.64,0.0084,0.05,-1.1143,-0.1638
re_rand_season3,-0.2179,0.2532,1520,-0.86,0.3895,0.05,-0.7146,0.2787
re_rand_season4,-0.01307,0.2334,1520,-0.06,0.9553,0.05,-0.4708,0.4447
re_num_re1,-0.4943,0.1985,1520,-2.49,0.0129,0.05,-0.8836,-0.1050
re_num_re2,-0.3357,0.2661,1520,-1.26,0.2073,0.05,-0.8578,0.1863
re_num_re3,-1.0239,0.3178,1520,-3.22,0.0013,0.05,-1.6473,-0.4005
re_event_season2,0.05907,0.1795,1520,0.33,0.7421,0.05,-0.2930,0.4112
re_event_season3,-0.4040,0.1966,1520,-2.05,0.0401,0.05,-0.7897,-0.01834
re_event_season4,-0.4630,0.1843,1520,-2.51,0.0121,0.05,-0.8245,-0.1014
re_male,0.07374,0.1526,1520,0.48,0.6289,0.05,-0.2255,0.3730
re_nowsmk,0.08202,0.1915,1520,0.43,0.6684,0.05,-0.2935,0.4576
re_oxygen,0.5466,0.1788,1520,3.06,0.0023,0.05,0.1958,0.8974
re_OPTIMAL,0.1257,0.2212,1520,0.57,0.5700,0.05,-0.3083,0.5596
