Label,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper
k,0.02000,0.06223,1520,0.32,0.7480,0.05,-0.1021,0.1421
gamma,1.1168,0.05640,1520,19.80,<.0001,0.05,1.0062,1.2274
gamma_d,1.3289,0.1384,1520,9.60,<.0001,0.05,1.0575,1.6003
v,1.9632,0.3607,1520,5.44,<.0001,0.05,1.2557,2.6708
re_trtSal,0.3467,0.1542,1520,2.25,0.0247,0.05,0.04418,0.6492
re_trtSal_Flu,0.2594,0.3211,1520,0.81,0.4192,0.05,-0.3704,0.8892
re_age,-0.5412,0.9321,1520,-0.58,0.5615,0.05,-2.3695,1.2870
re_BMI,-1.1816,1.2655,1520,-0.93,0.3506,0.05,-3.6640,1.3007
re_fev1pp,-1.5792,0.7481,1520,-2.11,0.0350,0.05,-3.0467,-0.1117
re_fev1fvcratio,0.2230,0.8448,1520,0.26,0.7918,0.05,-1.4340,1.8801
re_rand_season2,-0.6329,0.2411,1520,-2.63,0.0087,0.05,-1.1058,-0.1601
re_rand_season3,-0.2092,0.2526,1520,-0.83,0.4078,0.05,-0.7048,0.2864
re_rand_season4,-0.01177,0.2312,1520,-0.05,0.9594,0.05,-0.4653,0.4418
re_num_re1,-0.4396,0.2229,1520,-1.97,0.0487,0.05,-0.8768,-0.00249
re_num_re2,-0.2710,0.2956,1520,-0.92,0.3593,0.05,-0.8509,0.3088
re_num_re3,-0.9488,0.3510,1520,-2.70,0.0070,0.05,-1.6374,-0.2602
re_event_season2,0.05631,0.1794,1520,0.31,0.7537,0.05,-0.2956,0.4083
re_event_season3,-0.4129,0.1968,1520,-2.10,0.0361,0.05,-0.7990,-0.02677
re_event_season4,-0.4625,0.1840,1520,-2.51,0.0120,0.05,-0.8234,-0.1017
re_male,0.07527,0.1505,1520,0.50,0.6171,0.05,-0.2200,0.3705
re_nowsmk,0.08052,0.1889,1520,0.43,0.6700,0.05,-0.2901,0.4511
re_oxygen,0.5446,0.1780,1520,3.06,0.0023,0.05,0.1955,0.8938
re_OPTIMAL,0.1263,0.2184,1520,0.58,0.5631,0.05,-0.3020,0.5546
d_trtSal,-0.2098,0.2487,1520,-0.84,0.3990,0.05,-0.6977,0.2781
d_trtSal_Flu,-0.5437,0.6158,1520,-0.88,0.3774,0.05,-1.7516,0.6641
d_age,1.1358,1.6142,1520,0.70,0.4818,0.05,-2.0304,4.3021
d_packyears,0.7838,0.7824,1520,1.00,0.3166,0.05,-0.7509,2.3185
d_BMI,-2.4837,2.2576,1520,-1.10,0.2714,0.05,-6.9119,1.9446
d_fev1pp,-4.1871,1.3688,1520,-3.06,0.0023,0.05,-6.8720,-1.5023
d_fev1fvcratio,0.5560,1.3670,1520,0.41,0.6843,0.05,-2.1254,3.2374
d_num_re1,1.6538,0.2996,1520,5.52,<.0001,0.05,1.0662,2.2414
d_num_re2,2.1248,0.5230,1520,4.06,<.0001,0.05,1.0990,3.1506
d_num_re3,2.7945,0.5599,1520,4.99,<.0001,0.05,1.6963,3.8927
d_male,0.5556,0.2778,1520,2.00,0.0457,0.05,0.01070,1.1006
d_nowsmk,0.6409,0.2851,1520,2.25,0.0247,0.05,0.08174,1.2001
d_oxygen,0.4846,0.2876,1520,1.69,0.0921,0.05,-0.07945,1.0487
CON1_0,-0.4396,0.2229,1520,-1.97,0.0487,0.05,-0.8768,-0.00249
CON2_1,0.1686,0.2283,1520,0.74,0.4603,0.05,-0.2792,0.6164
CON3_2,-0.6777,0.2854,1520,-2.37,0.0177,0.05,-1.2376,-0.1179
d_CON1_0,1.6538,0.2996,1520,5.52,<.0001,0.05,1.0662,2.2414
d_CON2_1,0.4710,0.5077,1520,0.93,0.3537,0.05,-0.5248,1.4668
d_CON3_2,0.6697,0.6434,1520,1.04,0.2981,0.05,-0.5924,1.9318
