Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
ln_gamma,0.1105,0.05050,1520,2.19,0.0288,0.05,0.01143,0.2095,-0.00341
ln_gamma_d,0.2844,0.1041,1520,2.73,0.0064,0.05,0.08009,0.4886,-0.00597
b_0,-0.9149,0.6759,1520,-1.35,0.1761,0.05,-2.2407,0.4109,0.002380
b_trtSal,0.3104,0.1376,1520,2.26,0.0242,0.05,0.04048,0.5804,-0.00172
b_trtSal_Flu,0.2323,0.2872,1520,0.81,0.4187,0.05,-0.3310,0.7956,-0.00817
b_age,-0.4846,0.8350,1520,-0.58,0.5617,0.05,-2.1225,1.1532,-0.00361
b_BMI,-1.0580,1.1330,1520,-0.93,0.3506,0.05,-3.2805,1.1644,-0.00566
b_fev1pp,-1.4140,0.6651,1520,-2.13,0.0337,0.05,-2.7186,-0.1094,-0.00136
b_fev1fvcratio,0.1997,0.7563,1520,0.26,0.7918,0.05,-1.2838,1.6832,0.010734
b_rand_season2,-0.5667,0.2139,1520,-2.65,0.0081,0.05,-0.9863,-0.1472,0.000427
b_rand_season3,-0.1873,0.2253,1520,-0.83,0.4059,0.05,-0.6293,0.2547,-0.00151
b_rand_season4,-0.01054,0.2070,1520,-0.05,0.9594,0.05,-0.4166,0.3955,-0.00406
b_num_re1,-0.3937,0.1925,1520,-2.05,0.0410,0.05,-0.7712,-0.01609,-0.00152
b_num_re2,-0.2427,0.2606,1520,-0.93,0.3518,0.05,-0.7538,0.2684,-0.00234
b_num_re3,-0.8495,0.3005,1520,-2.83,0.0048,0.05,-1.4390,-0.2600,-0.00017
b_event_season2,0.05042,0.1606,1520,0.31,0.7536,0.05,-0.2645,0.3654,0.001774
b_event_season3,-0.3697,0.1777,1520,-2.08,0.0376,0.05,-0.7183,-0.02114,0.006567
b_event_season4,-0.4141,0.1647,1520,-2.51,0.0120,0.05,-0.7372,-0.09104,0.003588
b_male,0.06739,0.1348,1520,0.50,0.6173,0.05,-0.1971,0.3319,0.000519
b_nowsmk,0.07210,0.1691,1520,0.43,0.6698,0.05,-0.2595,0.4037,-0.00218
b_oxygen,0.4877,0.1581,1520,3.08,0.0021,0.05,0.1775,0.7978,-0.00039
b_OPTIMAL,0.1131,0.1955,1520,0.58,0.5631,0.05,-0.2704,0.4966,0.001630
b_d_0,-2.3177,0.9802,1520,-2.36,0.0182,0.05,-4.2404,-0.3950,0.001162
b_d_trtSal,-0.1579,0.1884,1520,-0.84,0.4020,0.05,-0.5274,0.2116,-0.00188
b_d_trtSal_Flu,-0.4092,0.4657,1520,-0.88,0.3798,0.05,-1.3226,0.5043,0.000819
b_d_age,0.8547,1.2197,1520,0.70,0.4836,0.05,-1.5378,3.2472,0.000486
b_d_packyears,0.5898,0.5922,1520,1.00,0.3195,0.05,-0.5719,1.7515,0.001136
b_d_BMI,-1.8690,1.7100,1520,-1.09,0.2746,0.05,-5.2231,1.4852,0.002660
b_d_fev1pp,-3.1508,1.0841,1520,-2.91,0.0037,0.05,-5.2773,-1.0243,0.004068
b_d_fev1fvcratio,0.4184,1.0290,1520,0.41,0.6844,0.05,-1.6000,2.4368,-0.00171
b_d_num_re1,1.2445,0.2425,1520,5.13,<.0001,0.05,0.7689,1.7201,0.000132
b_d_num_re2,1.5989,0.3975,1520,4.02,<.0001,0.05,0.8192,2.3786,0.001475
b_d_num_re3,2.1029,0.4328,1520,4.86,<.0001,0.05,1.2539,2.9518,-0.00075
b_d_male,0.4181,0.2128,1520,1.96,0.0497,0.05,0.000625,0.8356,0.003490
b_d_nowsmk,0.4823,0.2209,1520,2.18,0.0292,0.05,0.04903,0.9156,0.001260
b_d_oxygen,0.3647,0.2199,1520,1.66,0.0975,0.05,-0.06670,0.7961,0.002648
kinv,50.0076,155.62,1520,0.32,0.7480,0.05,-255.24,355.25,-0.00100
ln_v,0.6746,0.1837,1520,3.67,0.0002,0.05,0.3142,1.0350,-0.00099
