ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
1,z,1.3182152746,1.0410465846,1520,1.2662404297,0.2056210364,0.05,-0.723824576,3.3602551255
2,z,-0.096539893,1.3316828402,1520,-0.072494659,0.9422177935,0.05,-2.708670291,2.5155905039
3,z,2.8299061886,0.6181546309,1520,4.5779907603,5.0770716E-6,0.05,1.6173798627,4.0424325146
4,z,1.2527449908,1.0048520657,1520,1.2466959401,0.2127010883,0.05,-0.718298374,3.2237883551
5,z,-0.160071065,1.2917948749,1520,-0.123913686,0.9013999996,0.05,-2.693960185,2.3738180546
6,z,-0.169683513,1.2858819741,1520,-0.131958855,0.8950343007,0.05,-2.691974324,2.3526072989
7,z,-0.154533508,1.2946785635,1520,-0.119360521,0.9050055101,0.05,-2.694079058,2.3850120416
8,z,-0.119202555,1.3170920321,1520,-0.090504348,0.9278983635,0.05,-2.702712704,2.4643075938
9,z,1.4043513821,1.0604292578,1520,1.3243234961,0.1855947225,0.05,-0.675708085,3.4844108489
10,z,-0.212295102,1.2616953295,1520,-0.16826178,0.8663997255,0.05,-2.687143184,2.2625529795
11,z,-0.144993742,1.3011288576,1520,-0.111436881,0.9112846278,0.05,-2.697191711,2.4072042265
12,z,-0.168282075,1.2865406307,1520,-0.130801991,0.8959492571,0.05,-2.691864859,2.3553007082
13,z,-0.131896629,1.3091032027,1520,-0.100753423,0.9197594889,0.05,-2.699736482,2.4359432241
14,z,-0.102476109,1.327801145,1520,-0.077177301,0.9384926558,0.05,-2.706992461,2.5020402423
15,z,2.0535869873,0.6797643137,1520,3.0210279445,0.0025612316,0.05,0.7202116722,3.3869623023
16,z,-0.121000634,1.3158630731,1520,-0.091955338,0.9267456411,0.05,-2.702100148,2.46009888
17,z,-0.151276061,1.2966454314,1520,-0.116667254,0.907139153,0.05,-2.694679673,2.3921275504
18,z,-0.168883915,1.2860205631,1520,-0.131322873,0.8955372773,0.05,-2.691446573,2.3536787424
19,z,-0.250973699,1.2407491611,1520,-0.202275937,0.8397280798,0.05,-2.684735329,2.1827879303
20,z,-0.157275949,1.2933665642,1520,-0.121601991,0.9032303103,0.05,-2.694247978,2.3796960803
21,z,-0.168737422,1.2865480143,1520,-0.131155169,0.8956699162,0.05,-2.692334688,2.354859845
22,z,-0.175666874,1.2820106405,1520,-0.137024505,0.8910295722,0.05,-2.690363964,2.3390302166
23,z,-0.122324607,1.3150428822,1520,-0.093019481,0.9259003432,0.05,-2.701815295,2.457166082
24,z,1.1486657668,0.9878961006,1520,1.1627394481,0.2451177459,0.05,-0.789118033,3.0864495662
25,z,-0.27059469,1.2303079824,1520,-0.219940611,0.825946941,0.05,-2.683875677,2.142686297
26,z,-0.270944043,1.231892866,1520,-0.219941239,0.8259464524,0.05,-2.68733382,2.145445734
27,z,-0.277273973,1.2270899841,1520,-0.225960587,0.8212624535,0.05,-2.684242773,2.1296948267
28,z,0.8317589242,0.9194022089,1520,0.9046736196,0.3657816843,0.05,-0.971672332,2.6351901801
29,z,-0.28000713,1.2247352681,1520,-0.228626657,0.819189858,0.05,-2.682357093,2.1223428331
30,z,-0.280311439,1.2254299636,1520,-0.228745377,0.8190975949,0.05,-2.684024065,2.1234011877
31,z,-0.513188314,1.1250987546,1520,-0.456127351,0.6483635644,0.05,-2.720098675,1.6937220461
32,z,-0.361180784,1.1871059632,1520,-0.304253197,0.7609766462,0.05,-2.689719891,1.9673583225
33,z,-0.188850677,1.2743944348,1520,-0.148188561,0.8822136146,0.05,-2.688608383,2.3109070282
34,z,-0.018341396,1.3870620783,1520,-0.013223198,0.9894514573,0.05,-2.739099604,2.7024168113
35,z,-0.022211772,1.3841509673,1520,-0.016047218,0.9871988281,0.05,-2.73725976,2.692836216
36,z,-0.161825829,1.2905921877,1520,-0.125388818,0.9002323216,0.05,-2.693355847,2.3697041887
37,z,-0.129396581,1.3108894863,1520,-0.098708993,0.9213823434,0.05,-2.700740276,2.4419471133
38,z,3.0899138418,0.9858384519,1520,3.1343003876,0.0017555794,0.05,1.1561661737,5.0236615099
39,z,-0.107980507,1.3243128756,1520,-0.081537006,0.9350256308,0.05,-2.705654528,2.4896935135
40,z,-0.116318044,1.3192465044,1520,-0.088170061,0.9297531273,0.05,-2.704054246,2.4714181581
