Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
ln_gamma,0.1191,0.04734,1520,2.52,0.0120,0.05,0.02623,0.2119,-1.1E-7
b_0,-0.9514,0.6799,1520,-1.40,0.1619,0.05,-2.2851,0.3823,-1.16E-7
b_trtSal,0.3078,0.1382,1520,2.23,0.0261,0.05,0.03669,0.5789,-6.15E-8
b_trtSal_Flu,0.2332,0.2879,1520,0.81,0.4180,0.05,-0.3315,0.7980,-1.07E-8
b_age,-0.4685,0.8389,1520,-0.56,0.5766,0.05,-2.1141,1.1771,-7.43E-8
b_BMI,-1.0401,1.1400,1520,-0.91,0.3617,0.05,-3.2763,1.1961,-3.21E-8
b_fev1pp,-1.4066,0.6652,1520,-2.11,0.0346,0.05,-2.7115,-0.1018,-4.19E-8
b_fev1fvcratio,0.1943,0.7609,1520,0.26,0.7985,0.05,-1.2982,1.6868,-4.25E-8
b_rand_season2,-0.5673,0.2140,1520,-2.65,0.0081,0.05,-0.9872,-0.1475,-3.78E-8
b_rand_season3,-0.1935,0.2243,1520,-0.86,0.3884,0.05,-0.6334,0.2464,-3.92E-8
b_rand_season4,-0.01160,0.2072,1520,-0.06,0.9553,0.05,-0.4180,0.3948,-1.82E-8
b_num_re1,-0.4388,0.1712,1520,-2.56,0.0105,0.05,-0.7747,-0.1029,-3.28E-8
b_num_re2,-0.2980,0.2331,1520,-1.28,0.2013,0.05,-0.7553,0.1592,-1.33E-8
b_num_re3,-0.9089,0.2730,1520,-3.33,0.0009,0.05,-1.4445,-0.3734,7.24E-10
b_event_season2,0.05244,0.1593,1520,0.33,0.7420,0.05,-0.2600,0.3648,-6.91E-8
b_event_season3,-0.3586,0.1754,1520,-2.04,0.0411,0.05,-0.7028,-0.01450,-1.73E-8
b_event_season4,-0.4110,0.1635,1520,-2.51,0.0121,0.05,-0.7318,-0.09018,-979E-12
b_male,0.06546,0.1355,1520,0.48,0.6290,0.05,-0.2003,0.3312,-8.61E-8
b_nowsmk,0.07281,0.1699,1520,0.43,0.6683,0.05,-0.2605,0.4061,-2.44E-8
b_oxygen,0.4852,0.1584,1520,3.06,0.0022,0.05,0.1746,0.7958,-7.73E-8
b_OPTIMAL,0.1116,0.1964,1520,0.57,0.5700,0.05,-0.2736,0.4968,-1.79E-8
ln_v,0.7277,0.1554,1520,4.68,<.0001,0.05,0.4228,1.0326,-1.1E-7
