Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
ln_gamma,0.07808,0.05047,1520,1.55,0.1220,0.05,-0.02091,0.1771,-0.00018
b_0,-0.06829,0.6293,1520,-0.11,0.9136,0.05,-1.3027,1.1662,0.000134
b_trtSal,0.3129,0.1309,1520,2.39,0.0169,0.05,0.05618,0.5697,0.000105
b_trtSal_Flu,0.2381,0.2755,1520,0.86,0.3876,0.05,-0.3023,0.7785,-0.00001
b_age,-0.6133,0.7909,1520,-0.78,0.4382,0.05,-2.1647,0.9382,0.000086
b_BMI,-1.1725,1.0155,1520,-1.15,0.2484,0.05,-3.1643,0.8194,0.000037
b_fev1pp,-1.1295,0.6273,1520,-1.80,0.0720,0.05,-2.3599,0.1009,0.000040
b_fev1fvcratio,0.2983,0.6932,1520,0.43,0.6670,0.05,-1.0614,1.6580,0.000055
b_rand_season2,-0.4672,0.1963,1520,-2.38,0.0174,0.05,-0.8522,-0.08229,0.000134
b_rand_season3,-0.1415,0.2048,1520,-0.69,0.4897,0.05,-0.5432,0.2602,-0.00005
b_rand_season4,0.02945,0.1884,1520,0.16,0.8758,0.05,-0.3400,0.3989,0.000012
b_num_re1,-0.3827,0.1971,1520,-1.94,0.0524,0.05,-0.7693,0.004018,0.000039
b_num_re2,0.04003,0.2615,1520,0.15,0.8783,0.05,-0.4728,0.5529,0.000015
b_num_re3,-0.3216,0.3014,1520,-1.07,0.2862,0.05,-0.9129,0.2697,5.305E-7
b_event_season2,0.01022,0.1612,1520,0.06,0.9494,0.05,-0.3060,0.3264,0.000148
b_event_season3,-0.3772,0.1768,1520,-2.13,0.0330,0.05,-0.7239,-0.03047,-0.00007
b_event_season4,-0.4473,0.1627,1520,-2.75,0.0060,0.05,-0.7665,-0.1282,0.000016
b_male,0.08024,0.1277,1520,0.63,0.5298,0.05,-0.1702,0.3307,0.000075
b_nowsmk,0.06369,0.1587,1520,0.40,0.6883,0.05,-0.2477,0.3750,7.045E-6
b_oxygen,0.4211,0.1441,1520,2.92,0.0035,0.05,0.1385,0.7038,0.000134
b_OPTIMAL,0.07861,0.1794,1520,0.44,0.6614,0.05,-0.2734,0.4306,-0.00001
theta,2.6026,0.5471,1520,4.76,<.0001,0.05,1.5294,3.6757,8.332E-6
