ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
1,z,-0.035548148,0.9759023119,1520,-0.036425929,0.9709475224,0.05,-1.94980582,1.8787095235
2,z,-0.001731871,0.9987747447,1520,-0.001733995,0.9986167,0.05,-1.960854413,1.9573906708
3,z,-0.210853239,0.8741785822,1520,-0.241201562,0.8094314323,0.05,-1.92557718,1.5038707014
4,z,-0.01606059,0.9888526522,1520,-0.016241641,0.9870437464,0.05,-1.95572069,1.9235995101
5,z,-0.014231452,0.9900502209,1520,-0.014374475,0.9885331097,0.05,-1.956240614,1.9277777101
6,z,-0.006522063,0.9954049019,1520,-0.006552171,0.9947730215,0.05,-1.95903457,1.9459904449
7,z,-0.005565885,0.9960773991,1520,-0.005587804,0.9955423339,0.05,-1.959397514,1.9482657431
8,z,-0.011547258,0.9918974606,1520,-0.011641584,0.9907130971,0.05,-1.957179829,1.9340853128
9,z,-0.050302893,0.9659335632,1520,-0.05207697,0.9584742064,0.05,-1.945006606,1.8444008203
10,z,-0.018183277,0.9873731759,1520,-0.01841581,0.9853095568,0.05,-1.954941346,1.918574792
11,z,-0.017082053,0.9880938754,1520,-0.017287885,0.9862092196,0.05,-1.955253793,1.9210896868
12,z,-0.005794799,0.9959243884,1520,-0.005818513,0.9953582878,0.05,-1.959326293,1.9477366947
13,z,-0.010759485,0.9924695457,1520,-0.010841124,0.9913516267,0.05,-1.957514216,1.9359952451
14,z,-0.005183585,0.9963422822,1520,-0.005202614,0.9958496158,0.05,-1.959534788,1.9491676188
15,z,-0.110072424,0.9285910161,1520,-0.118537033,0.9056578165,0.05,-1.931527763,1.7113829158
16,z,-0.008277062,0.9941764479,1520,-0.008325546,0.9933583443,0.05,-1.958379925,1.9418258012
17,z,-0.00376241,0.9973439818,1520,-0.00377243,0.9969905388,0.05,-1.960078473,1.9525536531
18,z,-0.003165836,0.9977629785,1520,-0.003172934,0.9974687854,0.05,-1.960303772,1.9539720997
19,z,-0.02361732,0.9836061858,1520,-0.024010951,0.9808470254,0.05,-1.95298634,1.9057517006
20,z,-0.007715806,0.994583531,1520,-0.007757826,0.9938112302,0.05,-1.958617174,1.9431855611
21,z,-0.011331466,0.9920473013,1520,-0.011422305,0.9908880166,0.05,-1.957257954,1.9345950206
22,z,-0.00545592,0.9961560087,1520,-0.005476974,0.9956307479,0.05,-1.959441743,1.9485299029
23,z,-0.009245799,0.9934954713,1520,-0.009306333,0.9925759493,0.05,-1.958012909,1.9395213108
24,z,-0.096689974,0.9365713998,1520,-0.10323823,0.9177875173,0.05,-1.933799043,1.7404190952
25,z,-0.022740771,0.9842001286,1520,-0.023105841,0.9815688796,0.05,-1.953274826,1.9077932832
26,z,-0.07874847,0.947503469,1520,-0.083111537,0.9337737956,0.05,-1.937301076,1.7798041361
27,z,-0.01945634,0.986480713,1520,-0.019722981,0.9842669468,0.05,-1.95446382,1.9155511398
28,z,-0.06470215,0.9576389744,1520,-0.067564241,0.9461414079,0.05,-1.943135813,1.813731512
29,z,-0.007596603,0.9946597772,1520,-0.007637389,0.9939073069,0.05,-1.95864753,1.9434543228
30,z,-0.006329741,0.995549117,1520,-0.00635804,0.9949278863,0.05,-1.959125131,1.9464656478
31,z,-0.027208825,0.9813370451,1520,-0.027726279,0.9778841038,0.05,-1.952126867,1.8977092173
32,z,-0.028188056,0.9806125929,1520,-0.028745354,0.9770714577,0.05,-1.951685066,1.8953089543
33,z,-0.006261694,0.9955896196,1520,-0.006289433,0.9949826169,0.05,-1.95913653,1.946613142
34,z,-0.000232477,0.999835127,1520,-0.000232515,0.9998145102,0.05,-1.961434986,1.960970032
35,z,-0.000328152,0.9997673283,1520,-0.000328228,0.9997381545,0.05,-1.961397672,1.9607413682
36,z,-0.012468464,0.9912721685,1520,-0.012578245,0.9899659278,0.05,-1.956874508,1.9319375799
37,z,-0.012565777,0.9912122464,1520,-0.012677181,0.9898870075,0.05,-1.956854282,1.9317227282
38,z,-0.01224999,0.9914590255,1520,-0.012355519,0.9901435948,0.05,-1.957022559,1.9325225785
39,z,-0.00349789,0.9975286572,1520,-0.003506556,0.9972026388,0.05,-1.960176199,1.9531804184
40,z,-0.016037237,0.9888055131,1520,-0.016218799,0.9870619668,0.05,-1.955604873,1.9235303982
41,z,-0.013707687,0.9904018743,1520,-0.01384053,0.9889590234,0.05,-1.956406627,1.9289912521
42,z,-0.254655512,0.8525461734,1520,-0.298699965,0.7652098133,0.05,-1.926946922,1.4176358978
43,z,-0.080344311,0.9467056235,1520,-0.084867259,0.9323780977,0.05,-1.937331922,1.7766433001
44,z,-0.016388108,0.9886272131,1520,-0.016576631,0.9867765433,0.05,-1.955606004,1.922829787
45,z,-0.005907485,0.9958455714,1520,-0.00593213,0.9952676516,0.05,-1.959284377,1.9474694073
46,z,-0.017659856,0.9876812831,1520,-0.017880116,0.9857368384,0.05,-1.955022285,1.9197025736
47,z,-0.003345905,0.9976409779,1520,-0.003353817,0.9973244864,0.05,-1.960244534,1.9535527235
