ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
1,z,-0.026767983,1.1424264407,1520,-0.023430815,0.9813097004,0.05,-2.267667048,2.2141310832
2,z,-0.000901703,1.1643958215,1520,-0.000774396,0.9993822233,0.05,-2.284894278,2.2830908722
3,z,-0.186189063,1.0346420676,1520,-0.179955048,0.8572118451,0.05,-2.215666288,1.8432881617
4,z,-0.009876981,1.1565399448,1520,-0.008540112,0.9931871797,0.05,-2.278460051,2.2587060885
5,z,-0.009181618,1.1571240643,1520,-0.00793486,0.9936700051,0.05,-2.278910453,2.2605472174
6,z,-0.003873708,1.1617677633,1520,-0.003334323,0.997340038,0.05,-2.28271128,2.2749638627
7,z,-0.003128635,1.1624245984,1520,-0.002691473,0.9978528706,0.05,-2.283254605,2.2769973351
8,z,-0.006899973,1.1591119007,1520,-0.00595281,0.9952511536,0.05,-2.280528001,2.2667280544
9,z,-0.036040177,1.1346538755,1520,-0.031763146,0.9746651069,0.05,-2.261693155,2.1896128006
10,z,-0.011604151,1.1550484031,1520,-0.010046463,0.9919855356,0.05,-2.277261523,2.2540532211
11,z,-0.010712257,1.1557987965,1520,-0.009268272,0.9926063112,0.05,-2.277841545,2.2564170308
12,z,-0.003201586,1.1623623835,1520,-0.002754379,0.9978026881,0.05,-2.28320552,2.2768023481
13,z,-0.006066467,1.1598466527,1520,-0.005230405,0.9958274463,0.05,-2.28113573,2.2690027956
14,z,-0.00287329,1.162650137,1520,-0.002471328,0.9980284918,0.05,-2.28344166,2.27769508
15,z,-0.095369146,1.0900862422,1520,-0.087487707,0.93029538,0.05,-2.233601556,2.0428632639
16,z,-0.00482915,1.1609273126,1520,-0.004159735,0.9966815674,0.05,-2.282018155,2.2723598557
17,z,-0.0020707,1.1633595772,1520,-0.001779931,0.9985800545,0.05,-2.284030656,2.2798892551
18,z,-0.0017429,1.1636497843,1520,-0.001497787,0.9988051356,0.05,-2.284272104,2.2807863041
19,z,-0.016600279,1.1507401068,1520,-0.014425741,0.9884922161,0.05,-2.273806816,2.2406062581
20,z,-0.004480065,1.161237873,1520,-0.003858008,0.996922269,0.05,-2.282278242,2.2733181127
21,z,-0.007486511,1.1585999705,1520,-0.006461688,0.9948452029,0.05,-2.280110375,2.2651373521
22,z,-0.003065608,1.1624804751,1520,-0.002637126,0.9978962262,0.05,-2.283301181,2.2771699659
23,z,-0.005613278,1.1602386064,1520,-0.004838037,0.9961404547,0.05,-2.281451368,2.2702248126
24,z,-0.080561397,1.1000995244,1520,-0.073231008,0.9416319268,0.05,-2.23843512,2.0773123253
25,z,-0.015696929,1.1515058919,1520,-0.013631653,0.9891256402,0.05,-2.274405573,2.2430117155
26,z,-0.061423086,1.1145076659,1520,-0.055112305,0.9560562362,0.05,-2.247558751,2.1247125794
27,z,-0.012069724,1.1546342975,1520,-0.010453287,0.991661007,0.05,-2.276914817,2.2527753689
28,z,-0.051771026,1.1225098854,1520,-0.046120775,0.9632200456,0.05,-2.253603253,2.1500612
29,z,-0.004450732,1.1612605096,1520,-0.003832673,0.9969424797,0.05,-2.282293312,2.2733918477
30,z,-0.003666114,1.1619538628,1520,-0.003155129,0.9974829895,0.05,-2.282868724,2.2755364958
31,z,-0.019507897,1.1483409389,1520,-0.016987897,0.9864485009,0.05,-2.272008404,2.2329926098
32,z,-0.019587174,1.1482585263,1520,-0.017058157,0.9863924587,0.05,-2.271926027,2.2327516785
33,z,-0.003522161,1.1620777729,1520,-0.003030917,0.9975820797,0.05,-2.282967824,2.2759235019
34,z,-0.000104499,1.1651043933,1520,-0.000089691,0.9999284486,0.05,-2.285486956,2.2852779585
35,z,-0.000149188,1.1650646185,1520,-0.000128051,0.9998978472,0.05,-2.285453625,2.2851552504
36,z,-0.007424916,1.1586542825,1520,-0.006408224,0.994887853,0.05,-2.280155314,2.2653054817
37,z,-0.007768362,1.1583563026,1520,-0.006706367,0.9946500137,0.05,-2.279914265,2.2643775404
38,z,-0.008240188,1.1579651187,1520,-0.007116094,0.9943231603,0.05,-2.279618774,2.2631383967
39,z,-0.002073444,1.1633572806,1520,-0.001782294,0.99857817,0.05,-2.284028895,2.279882006
40,z,-0.009684297,1.1566919747,1520,-0.008372408,0.9933209616,0.05,-2.278565577,2.2591969831
41,z,-0.008694247,1.1575472707,1520,-0.007510922,0.9940081936,0.05,-2.279253212,2.2618647185
42,z,-0.240378698,1.0039736313,1520,-0.239427302,0.8108065416,0.05,-2.20969899,1.7289415947
43,z,-0.064755088,1.1121850033,1520,-0.058223306,0.9535784099,0.05,-2.24633479,2.1168246151
44,z,-0.009942245,1.1564877909,1520,-0.00859693,0.9931418547,0.05,-2.278423013,2.2585385234
45,z,-0.003386932,1.162199132,1520,-0.002914244,0.9976751556,0.05,-2.283070643,2.2762967802
46,z,-0.011886051,1.1547851795,1520,-0.010292867,0.9917889757,0.05,-2.277027103,2.2532550013
47,z,-0.001682612,1.1637039308,1520,-0.001445911,0.9988465202,0.05,-2.284318026,2.2809528018
48,z,-0.010646375,1.1558570316,1520,-0.009210806,0.9926521528,0.05,-2.277889892,2.2565971429
49,z,-0.078040668,1.1020162742,1520,-0.070816257,0.9435533087,0.05,-2.239674145,2.0835928091
50,z,-0.009167773,1.157136613,1520,-0.00792281,0.9936796182,0.05,-2.278921223,2.2605856765
51,z,-0.03028897,1.1394066693,1520,-0.026583107,0.9787957365,0.05,-2.265264675,2.2046867361
52,z,-0.00072168,1.1645557582,1520,-0.000619704,0.9995056291,0.05,-2.285027975,2.2835846154
54,z,-0.113806398,1.0776001557,1520,-0.105610971,0.9159049552,0.05,-2.227547026,1.9999342296
55,z,-0.026202315,1.1426930559,1520,-0.022930318,0.9817088664,0.05,-2.267624353,2.2152197234
56,z,-0.002868078,1.1626552855,1520,-0.002466834,0.9980320769,0.05,-2.283446546,2.2777103911
57,z,-0.003856504,1.1617840229,1520,-0.003319467,0.9973518889,0.05,-2.282725969,2.2750129609
58,z,-0.013356954,1.1535124266,1520,-0.011579376,0.990762721,0.05,-2.276001468,2.2492875605
59,z,-0.002110696,1.1633251426,1520,-0.001814365,0.9985525851,0.05,-2.284003107,2.2797817146
60,z,-0.020334157,1.1475667417,1520,-0.017719368,0.9858650553,0.05,-2.271316056,2.230647742
61,z,-0.000181568,1.1650357912,1520,-0.000155848,0.9998756718,0.05,-2.285429461,2.2850663244
62,z,-0.007736794,1.1583941629,1520,-0.006678896,0.9946719284,0.05,-2.27995696,2.2644833729
63,z,-0.01607819,1.1511794906,1520,-0.01396671,0.988858373,0.05,-2.27414659,2.2419902097
64,z,-0.005736187,1.1601339515,1520,-0.004944418,0.9960555901,0.05,-2.281368994,2.2698966198
65,z,-0.009914083,1.1564879318,1520,-0.008572578,0.993161281,0.05,-2.278395128,2.2585669617
66,z,-0.005340296,1.1604852972,1520,-0.004601778,0.9963289291,0.05,-2.281662276,2.2709816846
67,z,-0.021915523,1.1462443839,1520,-0.019119416,0.9847483517,0.05,-2.270303583,2.2264725367
68,z,-0.00374353,1.1618852136,1520,-0.003221945,0.9974296872,0.05,-2.282811483,2.2753244229
69,z,-0.001432655,1.1639248129,1520,-0.001230883,0.9990180595,0.05,-2.284501334,2.2816360249
70,z,-0.002875979,1.1626482114,1520,-0.002473645,0.9980266432,0.05,-2.283440572,2.2776886135
71,z,-0.160203332,1.0521399222,1520,-0.152264284,0.8789987014,0.05,-2.224003052,1.9035963882
72,z,-0.007783508,1.1583563419,1520,-0.006719442,0.9946395831,0.05,-2.279929488,2.2643624715
73,z,-0.021342403,1.1467155082,1520,-0.018611768,0.9851532577,0.05,-2.270654586,2.2279697799
74,z,-0.018846983,1.1488190588,1520,-0.016405528,0.986913023,0.05,-2.272285335,2.234591369
75,z,-0.005640339,1.1602217647,1520,-0.004861432,0.996121792,0.05,-2.281445394,2.2701647161
76,z,-0.002052459,1.1633770371,1520,-0.001764225,0.9985925842,0.05,-2.284046662,2.2799417441
77,z,-0.011679792,1.1549867989,1520,-0.01011249,0.9919328652,0.05,-2.277216326,2.2538567418
78,z,-0.010272433,1.1561979133,1520,-0.008884666,0.9929123209,0.05,-2.278184599,2.257639733
79,z,-0.005476534,1.1603645614,1520,-0.004719666,0.9962348843,0.05,-2.281561688,2.2706086205
80,z,-0.000062641,1.1651416546,1520,-0.000053762,0.9999571107,0.05,-2.285518187,2.2853929058
81,z,-0.000044539,1.1651577716,1520,-0.000038226,0.9999695067,0.05,-2.285531699,2.2854426213
82,z,-0.011439062,1.1551721973,1520,-0.009902474,0.9921003978,0.05,-2.27733926,2.2544611353
83,z,-0.025759064,1.1430310017,1520,-0.022535753,0.9820235503,0.05,-2.267843992,2.2163258633
84,z,-0.003052519,1.1624938433,1520,-0.002625837,0.9979052325,0.05,-2.283314315,2.277209277
85,z,-0.039716435,1.1315782852,1520,-0.035098266,0.9720059927,0.05,-2.259336563,2.1799036921
86,z,-0.001322352,1.1640225161,1520,-0.00113602,0.9990937368,0.05,-2.28458268,2.2819379748
87,z,-0.006594755,1.1593944961,1520,-0.005688103,0.9954623217,0.05,-2.280777101,2.2675875912
88,z,-0.037947129,1.1329385247,1520,-0.033494429,0.9732847057,0.05,-2.260235402,2.1843411432
89,z,-0.0040619,1.1616057532,1520,-0.003496798,0.9972104237,0.05,-2.282581684,2.2744578838
90,z,-0.004829204,1.1609268855,1520,-0.004159783,0.996681529,0.05,-2.282017371,2.2723589638
91,z,-0.071322126,1.1069933745,1520,-0.064428684,0.948637363,0.05,-2.242718314,2.1000740622
92,z,-0.025721469,1.1430638791,1520,-0.022502215,0.9820502987,0.05,-2.267870887,2.2164279485
93,z,-0.00274371,1.162763976,1520,-0.002359645,0.9981175872,0.05,-2.283535378,2.278047958
94,z,-0.001850671,1.1635543736,1520,-0.001590533,0.9987311476,0.05,-2.284192725,2.280491382
95,z,-0.002459322,1.1630163254,1520,-0.002114606,0.9983130671,0.05,-2.28374598,2.2788273364
96,z,-0.012493498,1.1542612803,1520,-0.010823804,0.9913654425,0.05,-2.276606909,2.2516199117
97,z,-0.007437014,1.1586477691,1520,-0.006418701,0.9948794947,0.05,-2.280154636,2.2652806077
98,z,-0.015813194,1.1514521179,1520,-0.013733262,0.9890445889,0.05,-2.274416359,2.2427899715
99,z,-0.027388065,1.1416345886,1520,-0.02399022,0.9808635584,0.05,-2.266733893,2.2119577619
100,z,-0.001367334,1.1639830687,1520,-0.001174703,0.9990628773,0.05,-2.284550284,2.2818156161
101,z,-0.002926521,1.1626050658,1520,-0.00251721,0.9979918894,0.05,-2.283406483,2.2775534405
102,z,-0.012340193,1.1544138223,1520,-0.010689575,0.9914725186,0.05,-2.276752818,2.2520724325
103,z,-0.004225987,1.1614593718,1520,-0.003638515,0.9970973689,0.05,-2.282458641,2.2740066658
104,z,-0.000774964,1.1645082765,1520,-0.000665486,0.9994691065,0.05,-2.284988123,2.2834381949
105,z,-0.02333198,1.1451009052,1520,-0.02037548,0.9837465185,0.05,-2.269477077,2.2228131169
106,z,-0.002529311,1.1629540448,1520,-0.002174902,0.998264966,0.05,-2.283693804,2.2786351818
107,z,-0.00231315,1.1631461127,1520,-0.001988701,0.9984135083,0.05,-2.283854389,2.2792280895
108,z,-0.00079776,1.1644881252,1520,-0.000685073,0.9994534807,0.05,-2.284971391,2.2833758719
109,z,-0.007395572,1.1586933771,1520,-0.006382683,0.9949082281,0.05,-2.280202655,2.2654115105
110,z,-0.020592952,1.1473311658,1520,-0.017948568,0.9856822391,0.05,-2.271112763,2.2299268595
111,z,-0.018731113,1.1489245114,1520,-0.016303171,0.9869946676,0.05,-2.272376312,2.2349140872
112,z,-0.02143649,1.1466587439,1520,-0.018694743,0.9850870756,0.05,-2.270637329,2.2277643476
113,z,-0.002831902,1.1626865771,1520,-0.002435654,0.9980569508,0.05,-2.28347175,2.2778079458
114,z,-0.030542622,1.1392348964,1520,-0.026809767,0.9786149825,0.05,-2.265181391,2.2040961469
115,z,-0.007508787,1.1585912916,1520,-0.006480963,0.9948298263,0.05,-2.280115627,2.2650980521
116,z,-0.018249833,1.1493513907,1520,-0.015878376,0.9873335052,0.05,-2.272732368,2.236232701
117,z,-0.002216148,1.1632319026,1520,-0.001905164,0.9984801498,0.05,-2.283925666,2.2794933704
118,z,-0.056337294,1.1183848472,1520,-0.050373799,0.9598311335,0.05,-2.250078151,2.1374035634
119,z,-0.002208987,1.1632372346,1520,-0.001898999,0.9984850678,0.05,-2.283928964,2.2795109903
120,z,-0.009493402,1.1568592939,1520,-0.008206186,0.9934535616,0.05,-2.278702883,2.2597160792
