ID,Effect,Estimate,StdErrPred,DF,tValue,Probt,Alpha,Lower,Upper
1,z,1.3855420205,1.0406218035,1520,1.3314558814,0.1832386942,0.05,-0.655664611,3.4267486523
2,z,-0.096941106,1.3665383777,1520,-0.070939176,0.9434554963,0.05,-2.777441543,2.5835593313
3,z,2.9192004574,0.5968671922,1520,4.8908710274,1.1103993E-6,0.05,1.7484299941,4.0899709207
4,z,1.3032389489,1.0024433159,1520,1.3000624855,0.1937766555,0.05,-0.66307959,3.269557488
5,z,-0.161211307,1.324250544,1520,-0.121737769,0.9031227919,0.05,-2.758763062,2.4363404489
6,z,-0.171567422,1.3180747954,1520,-0.130165164,0.896452978,0.05,-2.757005287,2.4138704424
7,z,-0.156337868,1.3272254398,1520,-0.117793001,0.9062472382,0.05,-2.759724958,2.447049223
8,z,-0.120072348,1.3507243179,1520,-0.088894785,0.9291772387,0.05,-2.769553097,2.5294084014
9,z,1.478150232,1.0582667896,1520,1.3967652075,0.1626880842,0.05,-0.597667497,3.5539679613
10,z,-0.214278942,1.2926091364,1520,-0.165772418,0.8683580983,0.05,-2.749765257,2.3212073725
11,z,-0.146157956,1.3337649246,1520,-0.109582996,0.9127545617,0.05,-2.762372416,2.4700565032
12,z,-0.170276735,1.3186879028,1520,-0.129125879,0.8972751282,0.05,-2.756917226,2.4163637558
13,z,-0.133262766,1.3421357032,1520,-0.099291574,0.9209198614,0.05,-2.765896725,2.4993711928
14,z,-0.10358245,1.3619041739,1520,-0.076057076,0.9393836984,0.05,-2.774992776,2.5678278768
15,z,2.131922359,0.6683591091,1520,3.1897857453,0.0014528334,0.05,0.8209186482,3.4429260698
16,z,-0.121889516,1.3495811151,1520,-0.090316554,0.928047565,0.05,-2.769127843,2.5253488114
17,z,-0.1528351,1.3294824205,1520,-0.114958346,0.9084933218,0.05,-2.760649317,2.4549791171
18,z,-0.170530978,1.3185043102,1520,-0.129336686,0.8971083556,0.05,-2.756811347,2.4157493909
19,z,-0.252683222,1.2709734315,1520,-0.198810782,0.8424373498,0.05,-2.745730541,2.240364097
20,z,-0.1593078,1.3256359905,1520,-0.120174619,0.9043607052,0.05,-2.759577145,2.4409615449
21,z,-0.170122916,1.3188671702,1520,-0.128991698,0.8973812832,0.05,-2.757115044,2.4168692123
22,z,-0.177368113,1.314217715,1520,-0.134960982,0.8926605926,0.05,-2.755240215,2.4005039882
23,z,-0.123618171,1.3484503203,1520,-0.091674249,0.9269689369,0.05,-2.768638415,2.5214020729
24,z,1.226412509,0.9880810838,1520,1.2412063434,0.2147210474,0.05,-0.71173414,3.1645591577
25,z,-0.27289126,1.2599439549,1520,-0.216589999,0.8285569449,0.05,-2.744303974,2.1985214551
26,z,-0.270729834,1.2611338073,1520,-0.214671776,0.8300520252,0.05,-2.744476475,2.2030168069
27,z,-0.280196995,1.2564419727,1520,-0.223008305,0.8235590068,0.05,-2.744740481,2.1843464913
28,z,0.8891521466,0.9225624275,1520,0.9637853441,0.3353068583,0.05,-0.92047796,2.6987822533
29,z,-0.283027182,1.254358758,1520,-0.225634955,0.821515685,0.05,-2.743484388,2.1774300247
30,z,-0.283930025,1.2548148821,1520,-0.22627244,0.8210199552,0.05,-2.74528193,2.1774218809
31,z,-0.517568205,1.1503976141,1520,-0.449903754,0.6528439934,0.05,-2.774102934,1.738966524
32,z,-0.364475403,1.2148112323,1520,-0.300026369,0.7641980666,0.05,-2.747359113,2.0184083068
33,z,-0.190919087,1.3061263082,1520,-0.146171994,0.8838049957,0.05,-2.752919685,2.3710815102
34,z,-0.018223526,1.4243267594,1520,-0.012794484,0.9897934363,0.05,-2.812077371,2.7756303192
35,z,-0.022358163,1.4210957342,1520,-0.015733045,0.9874494292,0.05,-2.809874268,2.765157943
36,z,-0.162820591,1.3232019903,1520,-0.123050443,0.9020834211,0.05,-2.758315582,2.432674399
37,z,-0.129423306,1.3447369131,1520,-0.096244332,0.9233392093,0.05,-2.767159606,2.5083129929
38,z,3.2099675529,0.956496075,1520,3.3559652117,0.0008103856,0.05,1.3337757173,5.0861593885
39,z,-0.108957554,1.3584523306,1520,-0.080207123,0.9360830834,0.05,-2.773597,2.5556818928
40,z,-0.116937859,1.3529143883,1520,-0.086434042,0.9311327707,0.05,-2.770714488,2.5368387701
41,z,-0.208740575,1.2956722484,1520,-0.161106002,0.8720313227,0.05,-2.750235264,2.3327541128
42,z,2.2640016208,0.8180940595,1520,2.767409926,0.005718875,0.05,0.6592889248,3.8687143167
43,z,1.9914863233,0.7799770528,1520,2.5532627098,0.0107688299,0.05,0.4615411238,3.5214315228
44,z,1.2747719645,1.0022217065,1520,1.2719460736,0.2035868441,0.05,-0.691111882,3.240655811
45,z,-0.155232825,1.3282171852,1520,-0.116873074,0.9069760757,0.05,-2.76056525,2.4500996
46,z,-0.205124319,1.2981706354,1520,-0.158010291,0.874469678,0.05,-2.751519659,2.3412710197
47,z,-0.14042924,1.3375596694,1520,-0.10498914,0.9163982779,0.05,-2.76408719,2.4832287101
48,z,-0.178445238,1.3136074946,1520,-0.135843651,0.8919628699,0.05,-2.755120377,2.3982299002
49,z,1.3943639554,1.0336074659,1520,1.3490265903,0.1775293502,0.05,-0.633083871,3.4218117823
50,z,-0.192680143,1.3051970397,1520,-0.14762533,0.882658043,0.05,-2.752857956,2.3674976699
51,z,1.2777859796,1.0009056413,1520,1.2766298109,0.2019279757,0.05,-0.685516371,3.2410883302
52,z,-0.115137863,1.3542448085,1520,-0.085019977,0.932256705,0.05,-2.771524146,2.5412484197
54,z,2.8446225382,0.6736372792,1520,4.2227807549,0.0000255617,0.05,1.52326556,4.1659795163
